1.22 	3.45254e-18 	-6.98323e-18 	-0.391864
1.66 	3.45254e-18 	-6.96118e-18 	-0.443331
2.1 	3.45254e-18 	-6.93894e-18 	-0.332632
2.54 	3.45254e-18 	-8.30431e-18 	-0.168285
2.98 	3.45254e-18 	-8.28171e-18 	-0.055627
3.42 	3.45254e-18 	-6.87115e-18 	0.0308536
3.86 	3.45254e-18 	-6.84819e-18 	0.0517089
4.3 	3.45254e-18 	-6.82504e-18 	0.0613799
4.74 	3.45254e-18 	-5.41391e-18 	0.0524643
5.18 	3.45254e-18 	-2.61482e-18 	0.0458051
5.62 	3.45254e-18 	-1.2033e-18 	0.0376321
6.06 	3.45254e-18 	-1.17937e-18 	0.0308861
6.5 	3.45254e-18 	-1.15524e-18 	0.0249875
