1.22 	3.45254e-18 	-6.98323e-18 	-0.298439
1.66 	3.45254e-18 	-6.96118e-18 	-0.286079
2.1 	3.45254e-18 	-6.93894e-18 	-0.347978
2.54 	3.45254e-18 	-8.30431e-18 	-0.358279
2.98 	3.45254e-18 	-8.28171e-18 	-0.293565
3.42 	3.45254e-18 	-6.87115e-18 	-0.207473
3.86 	3.45254e-18 	-6.84819e-18 	-0.126163
4.3 	3.45254e-18 	-6.82504e-18 	-0.0616098
4.74 	3.45254e-18 	-5.41391e-18 	-0.0214699
5.18 	3.45254e-18 	-2.61482e-18 	0.00940863
5.62 	3.45254e-18 	-1.2033e-18 	0.0214458
6.06 	3.45254e-18 	-1.17937e-18 	0.0296594
6.5 	3.45254e-18 	-1.15524e-18 	0.0306195
