1.22 	3.45254e-18 	-6.98323e-18 	-0.395375
1.66 	3.45254e-18 	-6.96118e-18 	-0.443253
2.1 	3.45254e-18 	-6.93894e-18 	-0.327689
2.54 	3.45254e-18 	-8.30431e-18 	-0.162154
2.98 	3.45254e-18 	-8.28171e-18 	-0.0511613
3.42 	3.45254e-18 	-6.87115e-18 	0.0334632
3.86 	3.45254e-18 	-6.84819e-18 	0.0527485
4.3 	3.45254e-18 	-6.82504e-18 	0.0612363
4.74 	3.45254e-18 	-5.41391e-18 	0.0520924
5.18 	3.45254e-18 	-2.61482e-18 	0.0453085
5.62 	3.45254e-18 	-1.2033e-18 	0.0371733
6.06 	3.45254e-18 	-1.17937e-18 	0.0304668
6.5 	3.45254e-18 	-1.15524e-18 	0.0246435
