1.22 	3.45254e-18 	-6.98323e-18 	-0.425797
1.66 	3.45254e-18 	-6.96118e-18 	-0.40996
2.1 	3.45254e-18 	-6.93894e-18 	-0.465148
2.54 	3.45254e-18 	-8.30431e-18 	-0.251754
2.98 	3.45254e-18 	-8.28171e-18 	-0.158381
3.42 	3.45254e-18 	-6.87115e-18 	-0.174165
3.86 	3.45254e-18 	-6.84819e-18 	-0.204108
4.3 	3.45254e-18 	-6.82504e-18 	-0.137472
4.74 	3.45254e-18 	-5.41391e-18 	-0.0864221
5.18 	3.45254e-18 	-2.61482e-18 	-0.104692
5.62 	3.45254e-18 	-1.2033e-18 	-0.141675
6.06 	3.45254e-18 	-1.17937e-18 	-0.133762
6.5 	3.45254e-18 	-1.15524e-18 	-0.0968489
