1.22 	3.45254e-18 	-6.98323e-18 	-0.067798
1.66 	3.45254e-18 	-6.96118e-18 	0.0830274
2.1 	3.45254e-18 	-6.93894e-18 	0.0362241
2.54 	3.45254e-18 	-8.30431e-18 	0.0358355
2.98 	3.45254e-18 	-8.28171e-18 	0.0186453
3.42 	3.45254e-18 	-6.87115e-18 	0.0131274
3.86 	3.45254e-18 	-6.84819e-18 	0.0084454
4.3 	3.45254e-18 	-6.82504e-18 	0.00588486
4.74 	3.45254e-18 	-5.41391e-18 	0.00409972
5.18 	3.45254e-18 	-2.61482e-18 	0.00294837
5.62 	3.45254e-18 	-1.2033e-18 	0.00215605
6.06 	3.45254e-18 	-1.17937e-18 	0.00160585
6.5 	3.45254e-18 	-1.15524e-18 	0.00121289
