1.22 	3.45254e-18 	-6.98323e-18 	-0.282523
1.66 	3.45254e-18 	-6.96118e-18 	-0.274614
2.1 	3.45254e-18 	-6.93894e-18 	-0.309047
2.54 	3.45254e-18 	-8.30431e-18 	-0.313035
2.98 	3.45254e-18 	-8.28171e-18 	-0.299549
3.42 	3.45254e-18 	-6.87115e-18 	-0.247104
3.86 	3.45254e-18 	-6.84819e-18 	-0.228356
4.3 	3.45254e-18 	-6.82504e-18 	-0.224938
4.74 	3.45254e-18 	-5.41391e-18 	-0.21119
5.18 	3.45254e-18 	-2.61482e-18 	-0.163578
5.62 	3.45254e-18 	-1.2033e-18 	-0.117927
6.06 	3.45254e-18 	-1.17937e-18 	-0.0860623
6.5 	3.45254e-18 	-1.15524e-18 	-0.0778593
