1.22 	3.45254e-18 	-6.98323e-18 	-0.44427
1.66 	3.45254e-18 	-6.96118e-18 	-0.368071
2.1 	3.45254e-18 	-6.93894e-18 	-0.441239
2.54 	3.45254e-18 	-8.30431e-18 	-0.255036
2.98 	3.45254e-18 	-8.28171e-18 	-0.14675
3.42 	3.45254e-18 	-6.87115e-18 	-0.10049
3.86 	3.45254e-18 	-6.84819e-18 	-0.174524
4.3 	3.45254e-18 	-6.82504e-18 	-0.180286
4.74 	3.45254e-18 	-5.41391e-18 	-0.126159
5.18 	3.45254e-18 	-2.61482e-18 	-0.0964005
5.62 	3.45254e-18 	-1.2033e-18 	-0.101345
6.06 	3.45254e-18 	-1.17937e-18 	-0.137142
6.5 	3.45254e-18 	-1.15524e-18 	-0.130504
