1.22 	3.45254e-18 	-6.98323e-18 	-0.501667
1.66 	3.45254e-18 	-6.96118e-18 	-0.498605
2.1 	3.45254e-18 	-6.93894e-18 	-0.377043
2.54 	3.45254e-18 	-8.30431e-18 	-0.167754
2.98 	3.45254e-18 	-8.28171e-18 	-0.130178
3.42 	3.45254e-18 	-6.87115e-18 	-0.189546
3.86 	3.45254e-18 	-6.84819e-18 	-0.171768
4.3 	3.45254e-18 	-6.82504e-18 	-0.109554
4.74 	3.45254e-18 	-5.41391e-18 	-0.0833653
5.18 	3.45254e-18 	-2.61482e-18 	-0.110991
5.62 	3.45254e-18 	-1.2033e-18 	-0.144805
6.06 	3.45254e-18 	-1.17937e-18 	-0.126667
6.5 	3.45254e-18 	-1.15524e-18 	-0.0969452
