1.22 	3.45254e-18 	-6.98323e-18 	-0.275123
1.66 	3.45254e-18 	-6.96118e-18 	-0.268484
2.1 	3.45254e-18 	-6.93894e-18 	-0.287155
2.54 	3.45254e-18 	-8.30431e-18 	-0.305442
2.98 	3.45254e-18 	-8.28171e-18 	-0.317509
3.42 	3.45254e-18 	-6.87115e-18 	-0.267597
3.86 	3.45254e-18 	-6.84819e-18 	-0.195377
4.3 	3.45254e-18 	-6.82504e-18 	-0.134127
4.74 	3.45254e-18 	-5.41391e-18 	-0.0827849
5.18 	3.45254e-18 	-2.61482e-18 	-0.0406723
5.62 	3.45254e-18 	-1.2033e-18 	-0.0158513
6.06 	3.45254e-18 	-1.17937e-18 	0.00399866
6.5 	3.45254e-18 	-1.15524e-18 	0.0128037
