1.22 	3.45254e-18 	-6.98323e-18 	-0.338394
1.66 	3.45254e-18 	-6.96118e-18 	-0.324175
2.1 	3.45254e-18 	-6.93894e-18 	-0.351456
2.54 	3.45254e-18 	-8.30431e-18 	-0.341412
2.98 	3.45254e-18 	-8.28171e-18 	-0.278201
3.42 	3.45254e-18 	-6.87115e-18 	-0.200139
3.86 	3.45254e-18 	-6.84819e-18 	-0.182038
4.3 	3.45254e-18 	-6.82504e-18 	-0.208392
4.74 	3.45254e-18 	-5.41391e-18 	-0.184919
5.18 	3.45254e-18 	-2.61482e-18 	-0.135906
5.62 	3.45254e-18 	-1.2033e-18 	-0.11743
6.06 	3.45254e-18 	-1.17937e-18 	-0.132569
6.5 	3.45254e-18 	-1.15524e-18 	-0.1494
