1.22 	3.45254e-18 	-6.98323e-18 	-0.267654
1.66 	3.45254e-18 	-6.96118e-18 	-0.264137
2.1 	3.45254e-18 	-6.93894e-18 	-0.277001
2.54 	3.45254e-18 	-8.30431e-18 	-0.28172
2.98 	3.45254e-18 	-8.28171e-18 	-0.305446
3.42 	3.45254e-18 	-6.87115e-18 	-0.276157
3.86 	3.45254e-18 	-6.84819e-18 	-0.216396
4.3 	3.45254e-18 	-6.82504e-18 	-0.158545
4.74 	3.45254e-18 	-5.41391e-18 	-0.105382
5.18 	3.45254e-18 	-2.61482e-18 	-0.0614907
5.62 	3.45254e-18 	-1.2033e-18 	-0.0326035
6.06 	3.45254e-18 	-1.17937e-18 	-0.00934622
6.5 	3.45254e-18 	-1.15524e-18 	0.00295148
