1.22 	3.45254e-18 	-6.98323e-18 	-0.28871
1.66 	3.45254e-18 	-6.96118e-18 	-0.275073
2.1 	3.45254e-18 	-6.93894e-18 	-0.315375
2.54 	3.45254e-18 	-8.30431e-18 	-0.34141
2.98 	3.45254e-18 	-8.28171e-18 	-0.314783
3.42 	3.45254e-18 	-6.87115e-18 	-0.24041
3.86 	3.45254e-18 	-6.84819e-18 	-0.159527
4.3 	3.45254e-18 	-6.82504e-18 	-0.0943729
4.74 	3.45254e-18 	-5.41391e-18 	-0.0485309
5.18 	3.45254e-18 	-2.61482e-18 	-0.011365
5.62 	3.45254e-18 	-1.2033e-18 	0.00642772
6.06 	3.45254e-18 	-1.17937e-18 	0.0198547
6.5 	3.45254e-18 	-1.15524e-18 	0.0240042
