1.22 	3.45254e-18 	-6.98323e-18 	-0.265372
1.66 	3.45254e-18 	-6.96118e-18 	-0.26214
2.1 	3.45254e-18 	-6.93894e-18 	-0.275141
2.54 	3.45254e-18 	-8.30431e-18 	-0.273919
2.98 	3.45254e-18 	-8.28171e-18 	-0.295825
3.42 	3.45254e-18 	-6.87115e-18 	-0.273082
3.86 	3.45254e-18 	-6.84819e-18 	-0.22052
4.3 	3.45254e-18 	-6.82504e-18 	-0.167584
4.74 	3.45254e-18 	-5.41391e-18 	-0.117556
5.18 	3.45254e-18 	-2.61482e-18 	-0.0746548
5.62 	3.45254e-18 	-1.2033e-18 	-0.0435016
6.06 	3.45254e-18 	-1.17937e-18 	-0.0174809
6.5 	3.45254e-18 	-1.15524e-18 	-0.00262288
