1.22 	3.45254e-18 	-6.98323e-18 	-0.387955
1.66 	3.45254e-18 	-6.96118e-18 	-0.443157
2.1 	3.45254e-18 	-6.93894e-18 	-0.338007
2.54 	3.45254e-18 	-8.30431e-18 	-0.17518
2.98 	3.45254e-18 	-8.28171e-18 	-0.0606977
3.42 	3.45254e-18 	-6.87115e-18 	0.027766
3.86 	3.45254e-18 	-6.84819e-18 	0.0504214
4.3 	3.45254e-18 	-6.82504e-18 	0.0614762
4.74 	3.45254e-18 	-5.41391e-18 	0.05286
5.18 	3.45254e-18 	-2.61482e-18 	0.0463609
5.62 	3.45254e-18 	-1.2033e-18 	0.0381512
6.06 	3.45254e-18 	-1.17937e-18 	0.0313647
6.5 	3.45254e-18 	-1.15524e-18 	0.0253791
