1.22 	3.45254e-18 	-6.98323e-18 	-0.39712
1.66 	3.45254e-18 	-6.96118e-18 	-0.350843
2.1 	3.45254e-18 	-6.93894e-18 	-0.339244
2.54 	3.45254e-18 	-8.30431e-18 	-0.264293
2.98 	3.45254e-18 	-8.28171e-18 	-0.312596
3.42 	3.45254e-18 	-6.87115e-18 	-0.203437
3.86 	3.45254e-18 	-6.84819e-18 	-0.13227
4.3 	3.45254e-18 	-6.82504e-18 	-0.10601
4.74 	3.45254e-18 	-5.41391e-18 	-0.155947
5.18 	3.45254e-18 	-2.61482e-18 	-0.143238
5.62 	3.45254e-18 	-1.2033e-18 	-0.107149
6.06 	3.45254e-18 	-1.17937e-18 	-0.0793022
6.5 	3.45254e-18 	-1.15524e-18 	-0.0799591
